incident_id,name,start_date,end_date,incident_type,receiver_country,receiver_regions,receiver_category,receiver_subcategory,initiator_name,initiator_country,initiator_category,initiator_subcategory,attribution_type,attributing_actor,cyber_conflict_issue,zero_days,mitre_initial_access,mitre_impact,has_disruption,data_theft,hijacking,impact_indicator_score,functional_impact,intelligence_impact,economic_impact_value,response_indicator,start_year
2938,"Iranian state-sponsored hacking group Seedworm gained access to three telecommunications companies in Egypt, Sudan and Tanzania in November 2023",2023-11-01,,Hijacking without Misuse,"Sudan, Egypt, Tanzania","AFRICA, MEA, NAF, MENA, MEA, AFRICA, NAF, AFRICA, SSA",Critical infrastructure,Telecommunications,MuddyWater/TEMP.Zagros/Mango Sandstorm fka MERCURY/Static Kitten/Seedworm/G0069 (MOIS),Iran,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,Symantec,Unknown,No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Countermeasures,2023.0
2937,FBI infiltrated ALPHV/BlackCat ransomware group and obtained 946 public and private key pairs for victim communication and leak sites as revealed by the FBI on 19 December 2023,2023-01-01,,"Data theft, Disruption, Hijacking with Misuse",Not available,Not available,Social groups,Criminal,Federal Bureau of Investigation (FBI),United States,State,Not available,Political statement / report,US Department of Justice (DoJ),Cyber-specific,No,Trusted Relationship,Data Exfiltration,True,Sensitive information,System Misuse,11,Months,Corruption / Major Breach,0,Countermeasures,2023.0
2936,Self-styled Hacktivist Group Predatory Sparrow Hijacked Systems That Led to Nationwide Gas Pump Disruptions in Iran on 18 December 2023,2023-12-18,,"Disruption, Hijacking with Misuse",Iran,"ASIA, MENA, MEA",Critical infrastructure,Energy,"Gonjeshke Darande = Predatory Sparrow/Indra (Israeli Defence Forces, Unit 8200)",Israel,Non-state-group,Hacktivist(s),Media statement / Social media,"Gonjeshke Darande = Predatory Sparrow/Indra (Israeli Defence Forces, Unit 8200)","System / ideology, International power",No,Not available,Not available,True,Not available,System Misuse,7,Days (< 7 days),No Impact,0,Unfriendly Acts / Retorsions,2023.0
2935,"Estonian genetic analysis company Asper Biogene suffers data breach affecting 10,000 people during ransomware incident in mid-November 2023",2023-11-01,,"Data theft, Hijacking with Misuse, Ransomware",Estonia,"EUROPE, NATO, EU, NORTHEU","Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition), Critical infrastructure, Social groups","Health, Advocacy / activists (e.g. human rights organizations), Research",Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Exploit Public-Facing Application,Data Exfiltration,False,Sensitive information,System Misuse,8,No system interference/disruption,Corruption / Major Breach,0,Unfriendly Acts / Retorsions,2023.0
2933,Unknown Threat Actor Gained Access to Campbell County School District's Network and Stole Personal Data in Ransomware Attack Detected in December 2023,2023-12-01,,"Data theft, Disruption, Hijacking with Misuse, Ransomware",United States,"NATO, NORTHAM","State institutions / political system, Education",Civil service / administration,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Data Exfiltration,True,Non-sensitive information,System Misuse,8,Days (< 7 days),Minor Breach,0,Unfriendly Acts / Retorsions,2023.0
2931,"London Public Library In Ontario, Canada, Suffered System Outage On 14 December 2023",2023-12-14,,"Disruption, Hijacking with Misuse",Canada,"NATO, NORTHAM",State institutions / political system,Civil service / administration,Not attributed,Not attributed,Not attributed,Not available,Not available,Not available,Unknown,No,Not available,Not available,True,Not available,System Misuse,8,Weeks (< 4 weeks),No Impact,0,Unfriendly Acts / Retorsions,2023.0
2930,Russian state-sponsored hacking group APT29 gained access to servers hosting JetBrains TeamCity software and stole data beginning in late September 2023,2023-09-01,,"Data theft, Hijacking with Misuse",Not available,Not available,"Critical infrastructure, Corporate Targets (corporate targets only coded if the respective company is not part of the critical infrastructure definition)","Finance, Defence industry",Cozy Bear/APT29/Dukes/Group 100/IRON HEMLOCK/Midnight Blizzard fka NOBELIUM/UNC2452/Cozy Duke/YTTRIUM/G0016 (SVR),Russia,State,Not available,Technical report,Federal Bureau of Investigation (FBI),International power,No,Exploit Public-Facing Application,Data Exfiltration,False,Non-sensitive information,System Misuse,6,No system interference/disruption,Minor Breach,0,Unfriendly Acts / Retorsions,2023.0
2929,Iranian state-sponsored hacker group OilRig gained access to unspecified Israeli organisations using SC5k v1 downloader beginning in November 2021,2021-11-01,,Hijacking without Misuse,Israel,"ASIA, MENA, MEA",Unknown,Not available,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049/Hazel Sandstorm fka EUROPIUM,Iran,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,ESET,"System / ideology, International power",No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Unfriendly Acts / Retorsions,2021.0
2928,Iranian state-sponsored hacker group OilRig gained access to an Israeli healthcare organisation using SC5k v3 downloader in December 2022,2022-12-01,,Hijacking without Misuse,Israel,"ASIA, MENA, MEA",Critical infrastructure,Health,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049/Hazel Sandstorm fka EUROPIUM,Iran,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,ESET,"System / ideology, International power",No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Countermeasures,2022.0
2927,Iranian state-sponsored hacker group OilRig gained access to Israeli local government organisation using new OilBooster as well as SC5k downloaders beginning in June 2022,2022-06-01,,Hijacking without Misuse,Israel,"ASIA, MENA, MEA",State institutions / political system,Civil service / administration,OilRig/APT34/Cobalt Gypsy/Helix Kitten/Crambus/G0049/Hazel Sandstorm fka EUROPIUM,Iran,State affiliated actor,Non-state group(state-affiliation suggested),Technical report,ESET,"System / ideology, International power",No,Not available,Not available,False,Not available,Empowerment,5,No system interference/disruption,No Impact,0,Countermeasures,2022.0
